,Thema1,Thema2,Thema3,Thema4
foot,0.10471405244498441,-0.2312937917905433,-0.16319481975329583,0.1544655036848076
full,0.030399908934734557,0.020534492457455835,-0.0010520887086136806,0.014026313150283704
get,0.13987689820110594,-0.08910379696777807,-0.0603712674295646,-0.00747114153993253
give,0.04999876047970664,-0.03423015563557611,-0.048679927245721115,0.019010349055585237
go,0.07312180713257137,0.005845783667462111,-0.011156699906201651,0.024432601175532878
good,0.06465072482238597,-0.02282439891657715,0.0031709047609930043,-0.012154515922783354
great,0.04108313833642724,-0.020269516665330896,-0.024063742047930523,0.007576998746407471
half,0.04966236247132548,0.07773405890920945,-0.010808070570821431,0.013438227113469977
happy,0.022582141584572873,-0.004883548187871472,0.002521409238975468,-0.023643051719077896
hard,0.02199584998408107,-0.059671070072190344,-0.02150666114325149,0.0024172761989138623
however,0.02769633241651511,-0.025561959806855675,-0.01621788142530866,0.0024148367627600583
huge,0.03356260359744011,-0.016424403552609004,0.01927847453399841,0.018482360734842742
hurt,0.02170799470409522,-0.0711608551753932,-0.04531403784268987,0.03179894898106532
inch,0.030260822534135937,0.0030567687052605605,-0.003253296728296729,-0.009264841332830636
inside,0.032156388902062405,-0.08232896639215966,-0.03278353375353166,0.02891160767641322
issue,0.023908694517470748,-0.01240320551089097,0.002929764737817485,-0.017336763146684257
know,0.03934918374641806,-0.053303920966522866,-0.007524826267791029,-0.033664315570923975
large,0.07410066878314582,-0.019397014566501423,0.0183927093971366,0.1317345130590116
last,0.032443010496352086,-0.01750389192748415,-0.01631283865240387,-0.034382823015829934
least,0.030173614840422167,0.028222791158659753,-0.01287251380308064,-0.01707842337025564
leave,0.03339790561435239,-0.020899286176942707,-0.034394199191454186,-0.024275467773921453
like,0.1558828864995617,-0.23422389706374105,0.3782494011196603,-0.09789202332698561
little,0.034749206335235545,-0.084425672393812,-0.03422833565260786,0.021368548600563617
long,0.03359271508512599,-0.0077512842177600355,-0.02774621390684696,-0.005869216140136896
look,0.07765856347247523,-0.13353915843367972,0.1386749059393643,-0.1403843003033395
love,0.06520315934304798,-0.07069387471341455,-0.053541637993493464,-0.057023550388484244
make,0.11377037102282708,-0.10539208824572474,-0.13740616082390408,-0.04361274092473053
many,0.025275612176999404,-0.007978821421311202,-0.028424189305923372,-0.008928995213383032
mark,0.027300357205992908,0.016872584646871594,0.0038983772879482314,-0.015227357773649154
material,0.02267414452937007,-0.05057079386463465,-0.012867717153433244,-0.015397022382455848
men,0.07068129754158485,0.05927500802962494,0.012386884086092781,-0.0032591207232541735
money,0.028853903529842833,-0.029521582199999306,-0.019851083705941342,0.02372448138140882
month,0.020090865163532114,-0.014593700956744464,-0.006055005292345965,-0.013886369315879579
much,0.05425281919978836,-0.06128570186172396,0.029254086681363957,0.03925520873076935
narrow,0.038523607878185796,-0.027316835250048667,-0.04186059511583327,0.059586230742528085
need,0.062067862603877526,-0.022617577520945835,0.056119350556258316,0.15504930153654456
never,0.05620230021873509,-0.06225507023219387,-0.05265525939001913,-0.07267825936135175
new,0.05738807296427395,-0.03235235740708341,-0.06494745843282684,-0.06868997815517994
next,0.026523620016857832,0.027791159543962267,-0.00214197356077077,0.009928345018970337
old,0.05399482657314313,-0.0236638872241485,-0.07340476129645618,-0.03978572797424028
one,0.14282686588528906,0.009210007620174064,-0.061546048282537374,-0.062464480564700074
online,0.04661844630908393,0.003597674044598968,-0.0050502563968607035,-0.010268128518478293
order,0.2241318546515643,0.0907568872031107,0.07086367349825921,-0.1563645695328165
original,0.022766461284518858,-0.01508581446348077,-0.019007969916963175,-0.01524154553070389
pair,0.22453559960337,-0.04927773446881112,-0.23375278051121118,-0.2007763508094018
past,0.018055155455487994,-0.018553809396577258,-0.004705153677109205,-0.004593414395447899
pay,0.022781001348214012,-0.02485968583594264,-0.005185093473972159,0.005786201338359459
pink,0.024278236567924383,-0.03289948858469826,0.07612103482359726,-0.06755003115934324
problem,0.018800782328609256,-0.01933131593415454,-0.030271571379120652,-0.006783709623440732
product,0.05326456554069966,-0.0176758268562892,0.01662991558207592,0.041653145202067365
purchase,0.09016878136310282,-0.05963765332432938,-0.04751058762793239,-0.056674769541401514
put,0.025925227794185074,-0.051991819314315596,-0.04821061549876413,0.03090633299284839
quality,0.03336543482042604,-0.05365102056686641,-0.02690058767579592,-0.028050758052423394
really,0.035693221054400225,-0.03965529004891382,-0.008848941794099022,0.0061687750242725835
receive,0.06290309661504145,-0.0008666088156127051,0.013082336902316437,-0.10132105544652889
refund,0.03407285976573571,-0.021153142076924994,0.00441885607276542,0.018841809857399472
return,0.15848117305304185,-0.13415800589718763,0.28833370019949434,0.4626010011627822
right,0.04763238665777512,0.004580853248787175,-0.012157516351765684,-0.021313822936151736
run,0.03229010505523915,0.0064106147421660814,-0.0049867944541966604,0.019432340048776205
say,0.04301014605106593,-0.0117540521880385,-0.01130035438186853,0.02424549702713972
see,0.032486123204916055,-0.03491108462818459,-0.02319257464915374,-0.01124196060530755
seem,0.036847903690084956,-0.016892916772225486,0.010100334731464796,-0.008493434623604102
send,0.06082640996802478,-0.014155155261028864,0.03124217612928811,-0.03487538844083052
service,0.02949551701609602,-0.02000531130152683,-0.027580776242116894,-0.0194409613568548
ship,0.031851837404403796,-0.024410494309353874,0.010106725253067004,0.025166981816175178
shoe,0.18903805678241287,-0.2135880361751326,-0.0677731428873742,0.22923489802226565
short,0.03338160922793502,-0.020309985119780202,-0.01103550397508,-0.0004800677281577855
show,0.020160749601401132,-0.05256104325141362,0.020260013995776364,-0.02773147809972898
shrink,0.04243409094387994,-0.0039069552894464244,-0.041830685566002404,-0.03649841847934249
side,0.028569472703983585,-0.04281590069671804,-0.046664408958884844,-0.01590844147280447
since,0.030459435000559615,-0.010326619598477917,-0.001385781239389294,0.0175066040056833
size,0.4905689629683002,0.5811324032206685,0.05948330343844177,0.040633100688974216
small,0.2488773988276716,0.34297512379656486,-0.05730621937235247,-0.11454981081034248
sock,0.021266045253045394,-0.047515950835612476,-0.024128254186121464,0.03313391762265041
son,0.030235590390002502,-0.009343358967557416,-0.01812147640886754,0.049239044818252184
still,0.0369942060811678,-0.025969649786829543,-0.016844893356072668,0.004941600126861431
