,always,arch,arrive,back,bad,big,black,blister,blue,bottom,box,break,buy,cant,change,china,classic,clog,color,come,comfortable,company,could,croc,crocs,customer,day,different,disappoint,end,exchange,expect,feel,felt,find,fine,first,fit,foot,full,get,give,go,good,great,half,happy,hard,however,huge,hurt,inch,inside,issue,know,large,last,least,leave,like,little,long,look,love,make,many,mark,material,men,money,month,much,narrow,need,never,new,next,old,one,online,order,original,pair,past,pay,pink,problem,product,purchase,put,quality,really,receive,refund,return,right,run,say,see,seem,send,service,ship,shoe,short,show,shrink,side,since,size,small,sock,son,still,store,strap,style,support,sure,take,tell,theyre,think,though,tight,time,toe,true,try,two,uncomfortable,use,vietnam,wait,walk,want,way,wear,website,week,well,wide,width,without,woman,work,wrong,year,zappos
0,0.0,0.2609362722522054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2301257475092997,0.0,0.0,0.2140065493901733,0.1950949415526151,0.0,0.0,0.0,0.0,0.0,0.0,0.11095212158875128,0.0,0.0,0.1950949415526151,0.0,0.0,0.0,0.0,0.0,0.0,0.24644949864634863,0.0,0.0,0.0,0.0,0.0,0.14710670772749146,0.0,0.0,0.19890842662681776,0.22350498522864565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328355597885146,0.0,0.0,0.0,0.0,0.23503839930471113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16082256271406728,0.22350498522864565,0.1303241067428484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2325262285761748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24044309944434183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23767316244040954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24644949864634863,0.0,0.0,0.0,0.0,0.14182230599395357,0.0,0.0,0.0,0.1774533619116662,0.0,0.0,0.0,0.0,0.0,0.19039615907501353,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28371651004800696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19967925951073243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3487567037109681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380714279418519,0.0,0.0,0.0,0.2881603542332865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13835862825636588,0.18484545098503688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33896872178402937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31562575123987285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26663178051609215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4111977911232873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24343126688418543,0.0,0.0,0.0,0.0,0.33309655052792186,0.34798869421638584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24117277017663338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3566545050003423,0.23824304871134808,0.0,0.0,0.0,0.3503215521607013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3219688867608352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29179225529303066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5361346934175418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64001831717656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46668343011464364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28632122191644993,0.0,0.0,0.35744058727478467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2001425250648943,0.0,0.0,0.5069637421027964,0.0,0.2248970921712048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37084324041501526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523438306654047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.23247775378730592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2492651712373527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320504133766093,0.0,0.0,0.0,0.0,0.2245256527364487,0.21197895829704005,0.0,0.0,0.0,0.16391222183544507,0.0,0.21763722948199524,0.0,0.0,0.0,0.0,0.0,0.0,0.13292037378003568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2245256527364487,0.1395716170973748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19672068525471037,0.19259155847747228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490884393927467,0.0,0.0,0.0,0.0,0.0,0.0,0.1875547271297716,0.0,0.138633654067627,0.20120930160834008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12930583027662862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19259155847747228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2418830930631354
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544354309515139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45472113336940845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6970150957998326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22428923264049533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3473617474639692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3757542384703529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31629717271046376,0.0,0.0,0.0,0.0,0.0,0.0,0.4203608526624447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35452584169547174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36659645981592087,0.0,0.0,0.0,0.20637966798729604,0.0,0.0,0.0,0.0,0.0,0.15541098578214588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29029137471922317,0.0
8,0.0,0.0,0.0,0.0,0.1297881141938008,0.0,0.0,0.13169783585986972,0.26749828687403576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17197409949591325,0.10405857255687327,0.10405857255687327,0.0,0.0,0.0,0.11374234097030504,0.0,0.0,0.5000029527580714,0.0,0.0,0.0,0.0,0.4671136826493082,0.0,0.0,0.0,0.0,0.2139647434516191,0.0,0.0,0.0,0.0,0.0,0.0,0.11456283969344563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11677842066232705,0.0,0.11251153211629744,0.0,0.0,0.0,0.0,0.14978092721279435,0.11564846845556577,0.11677842066232705,0.0,0.10063694007729672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21266984380839796,0.0,0.0,0.0,0.21266984380839796,0.0,0.0,0.0,0.0,0.13360149200876872,0.0,0.07065987668558887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07438717728211201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12047456764243401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06980151378952658,0.0,0.0,0.0,0.10263877492409201,0.0,0.0,0.0,0.12182507866766429,0.0,0.0,0.11351818797102789,0.0,0.0,0.0,0.0,0.0,0.0,0.09433188422745563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09283530433943757,0.0,0.12182507866766429,0.0,0.0,0.0909579758722252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.24028259943762126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37326149624198846,0.0,0.0,0.0,0.0,0.2554002689164866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23203010433659382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2069660584106146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396582472531183,0.0,0.0,0.0,0.0,0.23047079260701475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2149638007667703,0.0,0.0,0.0,0.0,0.3818446318778062,0.1618751329064888,0.0,0.4021172820656025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22522620257961892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
